Cleaned,Council District,Short Description,Type,Enrolled,Females,Max Count Allowed,Begin Age,End Age,Begin Date,End Date,Begin Time,End Time,Season,
Mount Carmel Recreation Center,8,Winter GPLA Basketball - Rookie (4-8),Basketbll,0,1000,50,4,8,1/7/2017,25-Feb-17, 9:00 am, 9:00 pm,Winter,
Mount Carmel Recreation Center,8,Winter GPLA Basketball - Pee Wees (5 -7),Basketbll,0,0,30,5,7,1/14/2017,25-Mar-17, 9:00 am, 9:00 pm,Winter,
Mount Carmel Recreation Center,8,Winter GPLA Basketball - Pee Wees (5 -8),Basketbll,170,17,30,5,8,1/21/2017,25-Mar-17, 9:00 am, 9:00 pm,Winter,
Chevy Chase Park,13,Spring GPLA Soccer - Rookies,Soccer Futsal,3,3,25,5,6,2/25/2017,31-May-17,10:00 AM,11:00 AM,Spring,
Chevy Chase Park,13,Spring GPLA Rookies Soccer,Soccer Futsal,0,0,200,5,6,3/18/2017,29-Apr-17, 9:00 am, 5:00 pm,Spring,
Chevy Chase Park,13,Fall GPLA Soccer - Rookies,Soccer Futsal,0,0,40,5,6,9/9/2017,18-Nov-17,10:00 AM,11:00 AM,Fall,
North Hollywood Park,2,Spring Softball: GPLA Minnies (6-8),Softball,0,0,30,6,8,2/27/2017,3-May-17, 9:00 am, 9:00 pm,Spring,
Rio de Los Angeles State Park,1,Winter GPLA Basketball - Minor (7-10),Basketball,0,0,50,7,11,1/7/2017,25-Feb-17, 9:00 am, 9:00 pm,Winter,
Rio de Los Angeles State Park,1,Spring GPLA Soccer - Pee Wee,Soccer Futsal,25,25,25,7,8,2/25/2017,31-May-17,11:00 AM,12:00 PM,Spring,
Glassell Park,1,Spring GPLA Pee Wee Soccer,Soccer Futsal,149,149,200,7,8,3/18/2017,29-Apr-17, 9:00 am, 5:00 pm,Spring,
Glassell Park,1,Spring Basketball - GPLA Bantam (7-8),Basketball,0,0,50,7,8,4/1/2017,30-Jun-17, 9:00 am, 6:00 pm,Spring,
Glassell Park,1,Summer GPLA Basketball - Pee Wee,Basketball,45,45,60,7,8,6/10/2017,2-Sep-17, 9:00 am, 5:00 pm,Summer,
Highland Park Recreation Center,1,Fall GPLA Soccer - Pee Wees,Soccer Futsal,0,0,40,7,8,9/9/2017,18-Nov-17,10:00 AM,11:00 AM,Fall,
Panorama City Recreation Center,6,Summer GPLA Minors (8-10),Basketball,0,0,48,8,10,1/14/2017,11-Mar-17, 9:00 am, 2:00 pm,,
Sepulveda Recreation Center,6,Winter GPLA Basketball - Minor (8-11),Basketball,24,24,60,8,11,1/14/2017,25-Feb-17, 9:00 am, 5:00 pm,,
Sepulveda Recreation Center,6,Winter GPLA Basketball - Minors (8 -10),Basketball,0,0,40,8,10,1/14/2017,25-Mar-17, 9:00 am, 9:00 pm,,
Sepulveda Recreation Center,6,Winter GPLA Basketball - Ages 8 - 12,Basketball,23,23,50,8,12,1/18/2017,4-Mar-17, 9:00 am, 6:00 pm,,
Sepulveda Recreation Center,6,Winter GPLA Basketball -  (8 - 12),Basketball,0,0,40,8,12,1/28/2017,25-Mar-17, 9:00 am, 6:00 pm,,
Lincoln Heights Recreation Center,1,Winter GPLA Basketball - Elementary (8 - 12),Basketball,0,0,40,8,12,1/28/2017,18-Mar-17, 5:00 pm, 9:00 pm,,
Lincoln Heights Recreation Center,1,Spring GPLA Softball - Elementary (8-12),Softball,36,36,60,8,12,2/1/2017,24-Jun-17, 5:00 pm, 8:00 pm,Spring,
Bellevue Recreation Center,13,Spring GPLA Softball (8 -12),Softball,0,0,60,8,12,3/25/2017,30-Jun-17, 9:00 am, 9:00 pm,Spring,
Bellevue Recreation Center,13,Spring GPLA Volleyball (8 -12),Volleyball,0,0,10,8,12,3/25/2017,30-Jun-17, 9:00 am, 9:00 pm,Spring,
Bellevue Recreation Center,13,Spring GPLA Softball: Juniors,Softball,0,0,40,8,12,4/3/2017,24-Jun-17, 5:00 pm, 9:00 pm,Spring,
Culver-Slauson Park,11,Spring GPLA Volleyball - Elementary (8 - 11),Volleyball,4,4,100,8,11,4/3/2017,24-Jun-17, 5:00 pm, 9:00 pm,Spring,
Toberman Recreation Center,1,Spring GPLA Softball - (8 - 12),Softball,35,35,100,8,12,4/12/2017,21-Jun-17, 4:00 pm, 7:00 pm,Spring,
Toberman Recreation Center,1,Spring GPLA Softball: Juniors,Softball,0,0,45,8,12,4/22/2017,3-Jun-17, 9:00 am, 4:00 pm,Spring,
Echo Park,13,Spring GPLA Softball - Minors/Majors (8-11),Softball,0,0,40,8,11,4/29/2017,1-Jul-17, 5:00 pm, 8:00 pm,Spring,
Echo Park,13,Summer GPLA Basketball - (8 - 15),Basketball,0,0,30,8,15,7/8/2017,9/9/2017,11:00 AM, 1:00 pm,Summer,
